post_id,post_name,publish_date,account_id,operator_id,impression,click_count,success_customer_count
POST0001,成人口语_01,2026-01-06,ACC002,EMP008,6618,351,1
POST0002,留学西语_02,2025-10-20,ACC001,EMP007,3961,152,0
POST0003,零基础西语_03,2026-05-05,ACC001,EMP007,2706,30,3
POST0004,留学西语_04,2025-03-01,ACC002,EMP008,1693,56,0
POST0005,成人口语_05,2025-12-27,ACC003,EMP009,2278,92,4
POST0006,DELE备考_06,2026-06-25,ACC004,EMP007,5184,287,1
POST0007,西语学习方法_07,2026-06-08,ACC003,EMP009,2993,119,1
POST0008,零基础西语_08,2026-07-01,ACC004,EMP007,4818,221,2
POST0009,零基础西语_09,2026-02-09,ACC003,EMP009,7862,86,0
POST0010,DELE备考_10,2026-01-04,ACC004,EMP007,2791,159,2
POST0011,留学西语_11,2025-11-11,ACC004,EMP007,7075,191,1
POST0012,DELE备考_12,2026-05-25,ACC004,EMP007,2755,35,1
POST0013,DELE备考_13,2025-08-06,ACC003,EMP009,868,40,3
POST0014,儿童西语_14,2026-03-12,ACC001,EMP007,4380,151,0
POST0015,西语学习方法_15,2025-08-18,ACC002,EMP008,2381,74,1
POST0016,成人口语_16,2026-02-17,ACC004,EMP007,1777,84,2
POST0017,DELE备考_17,2026-06-24,ACC001,EMP007,2452,126,1
POST0018,DELE备考_18,2025-07-25,ACC004,EMP007,2672,142,0
POST0019,DELE备考_19,2026-04-30,ACC001,EMP007,4503,66,0
POST0020,DELE备考_20,2025-03-15,ACC004,EMP007,2033,24,1
POST0021,西语学习方法_21,2026-01-14,ACC003,EMP009,6391,382,0
POST0022,DELE备考_22,2026-07-04,ACC001,EMP007,876,31,1
POST0023,留学西语_23,2025-10-18,ACC001,EMP007,3072,79,1
POST0024,留学西语_24,2025-03-24,ACC003,EMP009,3297,122,4
POST0025,零基础西语_25,2026-07-22,ACC004,EMP007,6833,102,0
POST0026,留学西语_26,2026-05-29,ACC003,EMP009,500,24,1
POST0027,零基础西语_27,2026-08-21,ACC004,EMP007,7358,126,1
POST0028,留学西语_28,2025-08-10,ACC003,EMP009,1047,15,3
POST0029,儿童西语_29,2026-01-27,ACC001,EMP007,1130,13,1
POST0030,留学西语_30,2026-03-14,ACC003,EMP009,2384,91,0
POST0031,成人口语_31,2026-02-27,ACC002,EMP008,2976,168,3
POST0032,儿童西语_32,2025-12-17,ACC002,EMP008,3875,218,1
POST0033,DELE备考_33,2026-08-19,ACC002,EMP008,3576,39,0
POST0034,西语学习方法_34,2025-11-04,ACC001,EMP007,5911,304,4
POST0035,西语学习方法_35,2025-11-24,ACC002,EMP008,4928,69,0
POST0036,留学西语_36,2025-04-18,ACC002,EMP008,6186,235,0
POST0037,留学西语_37,2025-08-26,ACC002,EMP008,5473,63,2
POST0038,零基础西语_38,2025-09-27,ACC003,EMP009,10890,240,1
POST0039,西语学习方法_39,2025-11-02,ACC004,EMP007,824,36,2
POST0040,零基础西语_40,2026-05-24,ACC004,EMP007,6383,211,0
POST0041,儿童西语_41,2026-07-20,ACC004,EMP007,1496,15,1
POST0042,零基础西语_42,2025-09-16,ACC003,EMP009,2462,43,3
POST0043,DELE备考_43,2026-01-26,ACC002,EMP008,6792,76,1
POST0044,留学西语_44,2025-11-23,ACC001,EMP007,2956,89,0
POST0045,DELE备考_45,2025-11-04,ACC003,EMP009,3770,141,1
POST0046,成人口语_46,2025-06-01,ACC004,EMP007,3786,205,1
POST0047,成人口语_47,2026-06-26,ACC004,EMP007,8805,150,0
POST0048,西语学习方法_48,2025-08-19,ACC003,EMP009,3320,168,1
POST0049,成人口语_49,2025-11-30,ACC002,EMP008,4366,88,2
POST0050,儿童西语_50,2025-05-14,ACC003,EMP009,6093,87,2
POST0051,儿童西语_51,2026-07-07,ACC002,EMP008,7596,196,1
POST0052,成人口语_52,2025-12-07,ACC002,EMP008,10189,605,0
POST0053,零基础西语_53,2025-04-18,ACC004,EMP007,4969,133,1
POST0054,零基础西语_54,2026-08-22,ACC004,EMP007,2665,32,2
POST0055,成人口语_55,2025-05-06,ACC004,EMP007,1952,115,0
POST0056,留学西语_56,2026-08-21,ACC001,EMP007,2432,80,2
POST0057,零基础西语_57,2025-11-05,ACC003,EMP009,2328,66,1
POST0058,西语学习方法_58,2025-08-12,ACC001,EMP007,3574,70,1
POST0059,零基础西语_59,2025-05-09,ACC002,EMP008,8980,117,2
POST0060,西语学习方法_60,2025-09-28,ACC001,EMP007,1617,53,1
POST0061,成人口语_61,2026-02-13,ACC003,EMP009,4925,264,0
POST0062,DELE备考_62,2025-06-13,ACC002,EMP008,6895,253,0
POST0063,儿童西语_63,2025-10-30,ACC001,EMP007,5850,196,1
POST0064,成人口语_64,2025-04-02,ACC004,EMP007,5083,300,2
POST0065,儿童西语_65,2026-06-25,ACC004,EMP007,6680,246,1
POST0066,零基础西语_66,2025-08-18,ACC001,EMP007,4096,48,0
POST0067,零基础西语_67,2025-04-12,ACC001,EMP007,3588,163,1
POST0068,儿童西语_68,2025-09-10,ACC003,EMP009,9474,184,1
POST0069,成人口语_69,2025-04-12,ACC002,EMP008,2588,94,0
POST0070,留学西语_70,2026-05-09,ACC003,EMP009,1444,24,1
POST0071,留学西语_71,2026-05-18,ACC003,EMP009,2967,90,0
POST0072,零基础西语_72,2025-08-26,ACC003,EMP009,12125,237,1
POST0073,DELE备考_73,2025-11-28,ACC003,EMP009,3799,90,1
POST0074,DELE备考_74,2025-08-29,ACC001,EMP007,7607,229,2
POST0075,儿童西语_75,2026-05-17,ACC004,EMP007,6157,196,1
POST0076,儿童西语_76,2025-09-22,ACC002,EMP008,14910,885,2
POST0077,成人口语_77,2025-08-26,ACC002,EMP008,2932,103,2
POST0078,成人口语_78,2026-08-04,ACC001,EMP007,5984,140,1
POST0079,西语学习方法_79,2025-10-17,ACC001,EMP007,2809,123,2
POST0080,儿童西语_80,2025-05-03,ACC003,EMP009,17017,494,1
POST0081,零基础西语_81,2025-09-08,ACC004,EMP007,1306,48,2
POST0082,留学西语_82,2025-12-11,ACC003,EMP009,1426,52,0
POST0083,儿童西语_83,2026-04-06,ACC001,EMP007,2107,109,0
POST0084,零基础西语_84,2025-05-03,ACC002,EMP008,3181,45,3
POST0085,DELE备考_85,2025-12-10,ACC001,EMP007,5637,100,0
POST0086,零基础西语_86,2025-05-08,ACC004,EMP007,8227,131,0
POST0087,西语学习方法_87,2025-03-05,ACC001,EMP007,4603,222,3
POST0088,儿童西语_88,2026-03-03,ACC001,EMP007,13893,494,0
POST0089,留学西语_89,2026-08-12,ACC004,EMP007,1306,17,0
