issue_id,对应痛点,注入问题,涉及数据,预期信号
SIM-001,P1,班课/课程安排/私教被拆成多个独立文件,"raw/班课文件, raw/私教课程文件, raw/课程安排表",文件数量与模式本身体现碎片化
SIM-002,P2,同一客户可有多次咨询；不同部门对姓名/账号写法不同,客户咨询/试听/学生汇总,raw inquiry rows=846
SIM-003,P2,课程形式在销售/教务/运营中使用不同标签,试听表/学生汇总/班课私教文件,VIP一对一/1对1私教/1V1/私教等
SIM-004,P3,raw 学生/排课主要保存当前状态；truth 才保留历史,学生汇总/已停课表/课程安排表,用于展示状态覆盖与历史缺口
SIM-005,P4,Jun-Jul-Aug 教师可用时间逐步压缩，Jul 新教师集中加入,教师可用时间月度快照,"[{""snapshot_month"":""2026-06"",""teacher_count"":20,""avg_weekly_available"":12.8,""avg_remaining"":39.5065,""new_teacher_count"":0},{""snapshot_month"":""2026-07"",""teacher_count"":30,""avg_weekly_available"":13.4,""avg_remaining"":47.3026666667,""new_teacher_count"":10},{""snapshot_month"":""2026-08"",""teacher_count"":30,""avg_weekly_available"":8.3666666667,""avg_remaining"":30.0723333333,""new_teacher_count"":10}]"
SIM-006,P4,2026-05 后销售承诺与教师可用时间冲突概率提高,试听测试表/排课记录表,pre=7.1%; May-Jun=26.5%; Jul-Aug=49.0%
SIM-007,P4,短期转化提升、约两个月后回落,试听测试表/月度统计,pre=42.2%; May-Jun=53.1%; Jul-Aug=20.4%
SIM-008,P4/P5,人工排课造成同一教师时间重叠,排课记录表/异常事件,detected overlap issues=29
SIM-009,P5,学生课程记录存在真实时区换算错误（DST/错符号/旧时差）,学生课程记录表,约10%-14%记录被注入时差错误
SIM-010,P2/P5,跨部门重复记录且标记方式不同,试听/学生/异常/班课私教,同一人、同一课程、同一状态出现不同名称与标签
SIM-011,P5,部分月度汇总转化率与明细重算不一致,月度汇总统计 vs 试听测试表,人为加入口径漂移
SIM-012,P2/P5,学生课程记录存在 exact + near duplicates,学生课程记录表,用于 DISTINCT/去重/双重计课风险分析
