当前源数据,业务流程,当前粒度,主要标准化目标,主要已知问题,对应痛点
小红书客户咨询表,市场→销售,一次咨询/互动,客户信息表 + 客户咨询事件表,一条记录不等于唯一客户,P1/P2
小红书运营帖子表,市场,帖子/账号/月度混合,运营账号表 + 广告帖子表,账号汇总与帖子粒度混合,P2
试听课对接表,销售→教务,一次试听安排,试听测试表 + 排课确认字段,销售/教师/教务信息混合,P2/P4
等级测试表,销售→教务,一次等级测试,试听测试表,试听与测试需区分,P2
学生汇总表,报名→教务,学生 + 当前状态,学生信息表 + 报名记录表 + 状态历史,稳定属性与状态混合,P2/P3
已停课/已完成学生表,生命周期,结束/停课记录,学生状态历史表 + 续费记录表,状态依赖文件位置,P3
学生课程记录表,课程交付,学生-单节课程,课程记录表 + 出勤表,计划与实际关系不足,P2/P3
私教课程文件,教务排课,课程组/学生/教师混合,私教课程表 + 私教学生关系表,多人关系,P2/P3
班课文件,教务排课,一个班级文件,班课信息表 + 学生班级关系表,新增文件扩展业务,P1/P2
课程安排表,排课,当前排课状态,教师可用时间表 + 排课记录 + 变更历史,历史和确认状态不足,P3/P4
异常事件记录表,运营,一次异常/任务,异常反馈表,异常类型需标准化,P4/P5
教务奖金评分数据,运营管理,月度汇总评价,月度统计/评价数据,不能替代事件明细,P5
