student_id,student_name,country,timezone,age,sales_id,academic_id,status
STU0001,Jack_218,美国,America/Los_Angeles,31,EMP001,EMP006,在读
STU0002,Isabela_520,英国,Europe/London,25,EMP001,EMP004,在读
STU0003,Alice_099,西班牙,Europe/Madrid,24,EMP001,EMP005,暂停
STU0004,Ava_135,英国,Europe/London,8,EMP001,EMP005,在读
STU0005,Mia_325,澳大利亚,Australia/Sydney,23,EMP001,EMP006,在读
STU0006,Alice_149,英国,Europe/London,32,EMP002,EMP006,已停课
STU0007,Etta_321,德国,Europe/Berlin,29,EMP003,EMP006,在读
STU0008,Elynn_473,中国,Asia/Shanghai,8,EMP001,EMP004,已完成
STU0009,Sarah_398,英国,Europe/London,8,EMP002,EMP006,在读
STU0010,Hannah_165,澳大利亚,Australia/Sydney,15,EMP003,EMP005,暂停
STU0011,Daniel_034,新加坡,Asia/Singapore,20,EMP002,EMP006,在读
STU0012,Hannah_265,加拿大,America/Toronto,36,EMP003,EMP004,在读
STU0013,Lydia_264,德国,Europe/Berlin,20,EMP003,EMP006,在读
STU0014,Jack_418,澳大利亚,Australia/Sydney,27,EMP003,EMP005,已停课
STU0015,Snow_519,加拿大,America/Toronto,28,EMP003,EMP004,在读
STU0016,Sofia_355,加拿大,America/Toronto,39,EMP001,EMP005,在读
STU0017,Mia_375,加拿大,America/Toronto,30,EMP002,EMP005,在读
STU0018,Chloe_181,美国,America/Los_Angeles,25,EMP003,EMP004,在读
STU0019,Etta_071,中国,Asia/Shanghai,41,EMP003,EMP006,在读
STU0020,Snow_119,加拿大,America/Toronto,21,EMP002,EMP005,暂停
STU0021,Henry_090,中国,Asia/Shanghai,31,EMP001,EMP006,在读
STU0022,Brian_259,西班牙,Europe/Madrid,24,EMP001,EMP004,在读
STU0023,Ella_442,中国,Asia/Shanghai,9,EMP002,EMP006,在读
STU0024,Nina_245,澳大利亚,Australia/Sydney,26,EMP003,EMP005,在读
STU0025,Sarah_298,新加坡,Asia/Singapore,27,EMP002,EMP005,在读
STU0026,Mia_475,英国,Europe/London,13,EMP001,EMP004,在读
STU0027,Lucas_252,西班牙,Europe/Madrid,12,EMP001,EMP004,已停课
STU0028,Tiger_010,新加坡,Asia/Singapore,36,EMP003,EMP006,暂停
STU0029,Alfred_472,澳大利亚,Australia/Sydney,8,EMP001,EMP006,已停课
STU0030,Nina_295,英国,Europe/London,41,EMP001,EMP005,已完成
STU0031,Crystal_362,新加坡,Asia/Singapore,15,EMP002,EMP005,在读
STU0032,Leo_476,新加坡,Asia/Singapore,19,EMP001,EMP006,在读
STU0033,Luis_153,德国,Europe/Berlin,35,EMP001,EMP004,已停课
STU0034,Lucy_206,美国,America/Los_Angeles,35,EMP001,EMP006,已停课
STU0035,Eric_396,德国,Europe/Berlin,38,EMP003,EMP005,在读
STU0036,Lucy_056,西班牙,Europe/Madrid,40,EMP002,EMP006,在读
STU0037,Larry_411,新加坡,Asia/Singapore,35,EMP002,EMP006,已停课
STU0038,Oscar_336,德国,Europe/Berlin,11,EMP001,EMP006,在读
STU0039,Hannah_215,美国,America/Los_Angeles,34,EMP002,EMP005,在读
STU0040,Henry_340,新加坡,Asia/Singapore,38,EMP002,EMP005,在读
STU0041,Alice_399,德国,Europe/Berlin,33,EMP002,EMP004,已停课
