实体/表,类型,主要来源,一行代表什么,主要作用,对应痛点
运营账号表,核心实体,小红书运营帖子表,一个运营账号,连接账号与帖子,P1/P2
广告帖子表,核心实体,小红书运营帖子表,一个帖子,内容表现分析,P2
客户信息表,核心实体,小红书客户咨询表,一个唯一客户,客户主体去重,P1/P2
客户咨询事件表,业务事件,小红书客户咨询表,一次咨询/互动,市场→销售事件链,P2
试听测试表,业务事件,试听课对接表/等级测试表,一次试听或测试,试听与测试跟踪,P2/P4
学生信息表,核心实体,已报名学生表,一个学生,学生稳定主体,P2
教师信息表,核心实体,学生/课程/排课相关表,一个教师,教师稳定主体,P2/P4
员工信息表,核心实体,销售/教务/运营字段,一个内部员工,统一员工身份,P2/P4
报名记录表,业务关系,报名/学生汇总,一次报名/购买,学生与课程关系,P2
私教课程表,课程组实体,私教文件,一个私教课程组,私教长期关系,P2/P3
私教学生关系表,关系表,私教文件,一个学生加入一个私教组,支持1V2/1V3/1V4,P2
班课信息表,课程组实体,班课文件,一个班级,班级主体,P1/P2
学生班级关系表,关系表,班课文件,一个学生加入一个班级,班级成员历史,P2/P3
教师可用时间表,业务状态,课程安排/待确认,教师的一段可用时间,真实资源约束,P4
排课记录表,业务事件/状态,课程安排表,一次排课安排,区分偏好/承诺/确认,P3/P4/P5
排课变更历史表,历史事件,课程安排/异常,一次排课变更,保留改课历史,P3/P5
课程记录表,业务事件,学生课程记录表,一次实际课程,课程执行事实,P2/P3
课程出勤表,关系/事件,课程记录/班课记录,一个学生在一节课的出勤,多人出勤,P2/P3
学生状态历史表,历史事件,在读/停课/完成表,一次学生状态变化,生命周期历史,P3
教师状态历史表,历史事件,教师相关记录,一次教师状态变化,教师流失分析,P4
续费记录表,业务事件,续费管理字段,一次续费,续费分析,P3/P5
异常反馈表,业务事件,异常事件记录表,一次运营异常,运营风险分析,P4/P5
月度统计表,派生汇总,月度报表,一个月份,历史汇总对照,P5
已停课已完成学生表,历史源表/过渡,已停课/已完成学生表,一条结束/状态记录,源数据映射与校验,P3
